Product,RowId,Unit,PackageType,ContentQty,X,Y,Z,Weight
340978,526817,1,1,5,35.4,39,57.9,15.4
340979,513924,0,1,1,44.4,8.2,24.6,2.244
340979,551326,1,1,5,47.2,27.6,42.7,12.218
341052,514015,0,1,1,32.5,6.5,27.2,0.412
343404,516371,0,1,1,40,8,31,0.7
343552,516612,0,1,1,12.1,8.7,23.5,0.674
343552,582429,1,1,10,44,22,26,7.39
343556,516620,0,1,1,12.1,4.3,24.5,0.252
343556,551203,1,1,10,44,15,23,2.86
343556,744695,1,1,50,76,25.5,45,15.582
343634,516711,0,1,1,17.2,3.6,21,0.038
343859,516991,0,2,1,95,210,64,81
343962,517112,0,1,1,25,5,16,0.319
343976,517133,0,1,1,24.9,3.6,10.1,0.328
343977,517134,0,1,1,21.1,3.6,7.9,0.382
344067,517230,0,1,1,38,4,15,0.68
344067,526623,1,1,5,39,16,19,3.67
344197,517368,0,1,1,14.8,6.9,54.4,1.046
344275,517454,0,1,1,9.5,7,13.7,0.192
344292,517473,0,1,1,17.9,4.2,13.2,0.124
344292,607553,1,1,80,43.1,30.8,39.8,5.736
344305,517486,0,1,1,23.1,6,18.7,0.514
344305,524288,1,1,10,60,25,20,6.11
344306,517487,0,1,1,23.2,6,18.7,0.61
344306,533900,1,1,10,59.7,25.2,20.1,6.476
349344,522610,0,1,1,8.2,4.6,12.4,0.05
349381,522672,0,1,1,22,8,8,0.36
349381,573899,1,1,10,41.5,24,18,4.18
349386,522678,0,1,1,43.5,2.7,31.2,2.822
349474,522803,0,1,1,43,14,26,3.228
349606,522987,0,1,1,6.8,2.5,11.9,0.016
349621,523003,0,1,1,59.1,31.7,25.9,6.014
349622,523004,0,1,1,59.6,30.2,37,8.304
349681,523126,0,1,1,24.1,6.4,16.3,0.628
349821,523372,0,1,1,52.4,24.9,27.3,1.72
349822,523373,0,1,1,45,25.6,44.2,2.382
349897,523499,0,1,1,4,1.9,8.2,0.026
349898,523500,0,1,1,4.8,2.3,8.6,0.034
349902,523504,0,1,1,9.2,3.4,6.8,0.072
350008,523649,0,1,1,9.4,5,13.1,0.122
350008,524384,1,1,5,9.9,12.6,25.1,0.666
350009,523650,0,1,1,9.1,2.8,12.8,0.058
350009,524383,1,1,5,10.3,12.5,13.9,0.322
350010,523651,0,1,1,9.1,2.7,13.3,0.056
350010,524385,1,1,5,11,12.5,13.8,0.32
350011,523652,0,1,1,9.1,2.8,12.9,0.06
350011,524386,1,1,5,10.4,12.3,13.7,0.322
350033,523686,0,1,1,10,1,5,0.013
350033,549419,1,1,25,21,6,12,0.4
350038,523693,0,1,1,4.8,2.3,8.7,0.04
350040,523695,0,1,1,13.8,5.1,8.3,0.134
350193,523879,0,1,1,34,15.1,11.1,0.7
350195,523881,0,1,1,7.1,2.9,12.9,0.04
350195,725959,1,1,100,57.5,41,15,4.941
350199,523890,0,1,1,14.8,7.5,21.9,0.738
350199,957470,1,1,20,60.2,24.9,39.2,15.71
